Year,Month,PM10,SO2,CO,O3,CO2,Population,Rainfall,Wind Speed,Curreny Rate,GDP,Red Onion Production,Chili Production,Tomato Production, Petsai Production, Cucumber Production,Market Demand,Oyster Mushroom Price,Oyster Mushroom Production,,,,,,
2020,January,17.52,2.23,69.00,15.16,510.82,53088.42,10.50,9.03,13848.51,15467.02,0.000,0.000,0.000,0.000,0.000,164734,"10,964",0.000,,,,,,
2020,February,21.72,2.21,56.28,17.41,518.67,53125.97,7.31,7.99,13755.86,15458.47,0.000,0.000,0.000,0.000,0.000,164734,"10,995",0.000,,,,,,
2020,March,23.10,1.90,42.74,14.81,527.77,53120.16,8.76,9.02,13843.23,15519.53,0.000,0.000,0.000,0.000,0.000,164752,"11,002",0.000,,,,,,
2020,April,29.87,1.27,41.67,10.07,527.21,53142.00,7.58,8.59,13470.08,15553.15,0.000,0.000,0.000,0.000,0.000,165391,"10,981",0.000,,,,,,
2020,May,20.06,1.13,27.45,5.68,543.80,53152.77,5.22,8.60,13349.51,15562.94,0.000,0.000,0.000,0.000,0.000,165889,"11,011",0.000,,,,,,
2020,June,20.37,1.07,28.57,6.47,503.91,53185.73,2.84,8.70,13393.81,15617.00,0.000,0.000,0.000,0.000,0.000,165677,"11,038",0.000,,,,,,
2020,July,20.87,0.87,25.74,11.06,548.09,53155.97,2.44,8.83,13215.05,15668.00,0.000,0.000,0.000,0.000,0.000,165734,"11,003",0.000,,,,,,
2020,August,22.45,0.55,16.52,17.06,518.10,53176.42,3.03,8.05,13296.26,15707.43,0.000,0.000,0.000,0.000,0.000,165804,"11,015",0.000,,,,,,
2020,September,16.43,0.03,13.53,17.47,527.58,53095.00,4.14,8.96,13538.46,15715.43,0.000,0.000,0.000,0.000,0.000,166050,"11,035",0.000,,,,,,
2020,October,15.77,0.19,18.35,16.71,548.45,53155.13,4.20,8.41,13414.99,15718.84,0.000,0.000,0.000,0.000,0.000,166300,"11,054",0.000,,,,,,
2020,November,14.00,0.40,20.63,27.80,536.73,53141.93,6.53,9.36,13226.41,15697.30,0.000,0.000,0.000,0.000,0.000,166685,"11,074",0.000,,,,,,
2020,December,14.42,0.45,20.61,32.97,502.74,53213.03,8.78,9.97,13369.23,15666.02,0.000,0.000,0.000,0.000,0.000,166052,"11,044",0.000,,,,,,
2021,January,62.61,113.93,27.33,20.81,410.62,52596.00,10.06,7.85,14285.05,16972.48,3.78,260.25,0.000,105.85,8.4,98137,"11,483",0.42,,,,,,
2021,February,63.54,182.45,35.00,27.55,425.46,52648.41,7.36,8.41,14290.11,16983.04,3.7,254.69,0.000,103.59,8.22,98137,"11,515",0.41,,,,,,
2021,March,61.55,135.30,27.42,29.08,399.31,52591.00,8.43,9.50,14397.26,16948.33,3.6,247.68,0.000,100.73,7.99,98137,"11,551",0.4,,,,,,
2021,April,75.97,153.93,35.63,29.20,415.63,52604.40,6.28,9.32,14725.52,17005.63,3.81,262.48,0.000,106.75,8.47,98467,"11,531",0.42,,,,,,
2021,May,78.68,136.36,32.13,20.99,408.99,52616.81,5.08,8.52,14681.20,17013.42,3.79,261.13,0.000,106.21,8.43,98457,"11,487",0.42,,,,,,
2021,June,72.11,130.94,28.60,25.48,438.36,52571.43,3.92,8.24,14618.01,17017.03,3.69,253.82,0.000,103.23,8.19,98137,"11,520",0.41,,,,,,
2021,July,83.94,123.93,31.30,20.89,416.03,52649.19,3.88,8.39,14390.24,17008.27,3.87,266.6,0.000,108.43,8.61,98137,"11,509",0.43,,,,,,
2021,August,80.60,136.53,36.47,25.62,426.47,52619.13,2.71,7.57,14126.95,16948.13,3.6,247.71,0.000,100.75,8,98199,"11,493",0.4,,,,,,
2021,September,89.58,158.66,29.90,28.04,429.74,52608.83,3.10,7.96,14284.46,16999.98,3.71,255.6,0.000,103.96,8.25,98137,"11,479",0.41,,,,,,
2021,October,64.14,185.37,29.56,25.28,431.47,52593.10,4.44,8.24,14334.41,16975.09,3.85,265.3,0.000,107.9,8.56,98137,"11,471",0.43,,,,,,
2021,November,61.75,154.36,28.12,28.61,429.90,52629.60,6.46,9.25,14364.83,16994.44,3.79,260.77,0.000,106.06,8.42,98137,"11,460",0.42,,,,,,
